age_rating,app_rating,category,compatibility,languages,name,price,rank,rating_count,size
4+,3.0,"
                  Books
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,"Beauty Secrets, Tips For Women",Free,,1 Rating,14.3 MB
4+,4.7,"
                  Business
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Portuguese, Simplified Chinese, Spanish",GoToMeeting,Free,191,9 Ratings,148 MB
4+,2.6,"
                  Finance
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",,OctaFX cTrader,Free,166,5 Ratings,190.1 MB
4+,4.5,"
                  Entertainment
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Live Wallpapers & ASMR Studio,Free,,768 Ratings,113 MB
4+,4.6,"
                  Education
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Space 4D+,Free,,12 Ratings,245.7 MB
9+,4.6,"
                  Games
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Yu-Gi-Oh! Duel Links,Free,27,898 Ratings,201.3 MB
4+,,"
                  Food & Drink
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Resep Daging Indonesia,Free,,,19.5 MB
4+,3.9,"
                  Lifestyle
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Czech, Finnish, French, German, Hebrew, Indonesian, Italian, Japanese, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish",FunDo Pro,Free,134,79 Ratings,185.6 MB
17+,5.0,"
                  Medical
                ","Requires iOS 10.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Pocket Pharmacist,Free,,1 Rating,64.7 MB
12+,5.0,"
                  Health & Fitness
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Dutch, French, German, Italian, Russian, Spanish",Calorie-Calculator,Free,,2 Ratings,16.7 MB
4+,3.9,"
                  Music
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Piano DX,Free,,18 Ratings,24.8 MB
12+,,"
                  News
                ","Requires iOS 9.3 or later. Compatible with iPhone, iPad and iPod touch.",English,PEI News,Free,,,57.4 MB
17+,,"
                  Lifestyle
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,QMagazine Gay Lifestyle,Free,,,12.7 MB
12+,4.8,"
                  News
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, German",DER SPIEGEL,Free,,5 Ratings,30.7 MB
